ID,METODE,DATA,Codi_Districte,Nom_Districte,F0,F1,F2,RENDA,Q1,Q2,EDAT,ID4,ID4_PAIS,ID5,P9,ID7,ID8,ID9,P1,P1A,Q1A,P1B,P2_1,P2_2,P2_3,P2_4,P2_6,P2_7,P2_5,P2_5B,P2,P2A,P2B,P3_1,P3_2,P3_3,P3_0,P3_95,P3_98,P3_99,P4,P5A_1,P5A_2,P5A_3,P5A_4,P5A_5,P5A_6,P5A_7,P5A_8,P5A_9,P5A_10,P5A_11,P5A_12,P5A_13,P5A_14,P5A_15,P5A_16,P5A_17,P5A_18,P5A_19,P5A_20,P5A_18_cod,P6,P7,Q8,P8B,P9B,P10,P10B_1,P10B_2,P10B_3,P10B_4,P10B_5,P10B_6,P10B_95,P10B_98,P10B_99,P11_0,P11_1,P11_2,P11_3,P11_4,P11_5,P11_98,P11_99,P11B,P11C_1,P11C_2,P11C_3,P11C_4,P11C_5,P11C_6,P11C_95,P11C_98,P11C_99,P12,Q12,P13,P13B_1,P13B_2,P13B_3,P13B_4,P13B_5,P13B_98,P13B_99,ID10,ID11,P14,P14_1cod,P14_2cod,P5A_1rec,P5A_2rec,P5A_3rec,P5A_4rec,P5A_5rec,P5A_6rec,P5A_7rec,P5A_8rec,P5A_9rec,P5A_10rec,P5A_11rec,P5A_12rec,P5A_13rec,P5A_14rec,P5A_15rec,P5A_16rec,P5A_17rec,P5A_18rec,P5A_19rec,P5A_20rec,P2_LLAR,Longitud,Latitud,Pes
347,1,20201019,10,Sant Martí,1,1,1,4,1,49,4,1,,1,4,4,3,1,1,2,8,,3,1,2,0,0,1,0,,1,1,,1,2,,,,,,1,1,1,1,1,5,5,1,3,5,3,2,3,5,5,5,5,5,5,1,1,,1,0,,2,2,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1,,3,,,,,,,,5,2,,,,1,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,1,1,6,2.2092284,41.4047828,0.6702830
352,1,20201019,7,Horta - Guinardó,2,1,1,2,2,66,6,1,,3,,1,1,0,1,2,7,,1,0,0,1,0,0,0,,1,1,,1,,,,,,,1,3,1,4,1,5,5,1,5,4,4,3,5,5,5,4,4,5,5,5,2,,1,0,,4,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,3,,,,,,,,2,2,,,,1,1,1,1,2,2,1,2,1,1,1,2,2,2,1,1,2,2,2,1,2,2.1732014,41.42058,2.0410940
353,1,20201019,5,Sarrià - Sant Gervasi,1,1,1,5,2,73,6,1,,3,,3,2,0,1,98,10,,2,2,2,1,0,1,0,,1,1,,1,,,,,,,1,1,1,2,2,5,1,1,5,5,5,5,5,5,5,5,5,5,5,4,3,,2,0,,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1,,3,,,,,,,,3,2,,,,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,7,2.1351236,41.4076554,0.6378260
354,1,20201019,10,Sant Martí,1,1,1,4,1,32,2,1,,2,,2,2,0,1,2,9,,2,1,1,1,0,1,0,,1,1,,1,,,,,,,1,2,1,4,1,5,1,1,3,3,3,2,5,5,1,5,3,5,3,1,1,1,2,5,8,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,1,1,2,,,,,,4,2,,,,1,1,1,1,2,1,1,1,1,1,1,2,2,1,2,1,2,1,1,1,5,2.2032922,41.4034232,0.6963770
357,1,20201019,7,Horta - Guinardó,2,1,1,2,1,29,2,1,,1,5,1,1,0,1,2,8,,1,1,0,1,0,0,0,,1,1,,1,,,,,,,1,1,1,3,1,2,2,1,3,2,3,2,5,4,5,4,4,4,4,2,1,5,2,0,,2,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,2,10,3,,,,,,,,4,2,,,,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,3,2.1701613,41.4262122,1.8377240
363,1,20201019,6,Gràcia,2,1,1,4,1,60,5,1,,1,5,5,2,0,1,2,10,,2,0,2,0,0,0,0,,1,1,,1,2,,,,,,1,1,1,5,5,5,5,1,2,5,5,3,5,5,5,4,4,5,5,5,2,,2,0,,3,,,,,,,,,,,,,,,,4,,,,1,,,,,,,,,,1,,3,,,,,,,,4,2,,,,1,1,2,2,2,2,1,1,2,2,1,2,2,2,1,1,2,2,2,1,4,2.1544043,41.3981308,0.6960400
364,1,20201019,7,Horta - Guinardó,1,1,1,2,1,55,5,1,,1,4,4,3,0,1,2,7,,3,1,3,1,0,1,0,,1,1,,1,2,,,,,,1,1,1,2,1,3,5,1,2,3,3,1,1,3,5,3,4,5,2,3,2,2,1,0,,2,1,,,,,,,,,,,,,,,4,,,,1,,,,,,,,,,2,9,3,,,,,,,,5,2,,,,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,8,2.1726832,41.4185397,1.7432580
367,1,20201019,2,Eixample,2,1,1,5,1,63,5,1,,3,,2,2,0,1,2,9,,3,0,4,0,0,0,0,,1,1,,1,,,,,,,1,1,1,5,2,5,5,1,5,5,4,2,5,5,5,5,4,5,5,2,5,,2,0,,2,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,3,,,,,,,,3,2,,,,1,1,2,1,2,2,1,2,2,1,1,2,2,2,2,1,2,2,1,2,7,2.1768458,41.3971803,0.6012520
368,1,20201019,8,Nou Barris,1,1,1,1,1,67,6,1,,3,,3,2,0,1,2,8,,2,1,3,1,0,0,0,,1,1,,1,,,,,,,1,1,1,3,4,4,4,1,3,4,4,2,4,4,5,4,4,5,5,5,1,,2,0,,2,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,2,7,1,,,,,5,,,5,2,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,1,7,2.1696515,41.4344454,0.6007360
369,1,20201019,5,Sarrià - Sant Gervasi,1,1,1,5,2,86,7,1,,3,,3,2,0,1,2,7,,1,0,1,0,0,0,0,,1,1,,1,,,,,,,1,2,1,5,3,5,5,1,4,3,5,98,98,98,98,4,4,5,5,5,98,,1,0,,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1,,1,,,,,,98,,5,2,,,,1,1,2,1,2,2,1,1,1,2,98,98,98,98,1,1,2,2,2,98,2,2.1424278,41.4004989,0.6122530
370,1,20201019,10,Sant Martí,3,1,1,2,2,81,7,1,,3,,3,2,0,1,2,7,,1,1,1,0,0,0,0,,1,1,,,,,0,,,,1,5,1,4,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,,1,0,,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,3,,,,,,,,2,2,,,,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2.198071,41.4224015,2.0529610
371,1,20201019,2,Eixample,1,1,1,3,1,70,6,1,,3,,4,5,3,1,2,9,,3,1,2,1,0,0,0,,1,1,,1,,,,,,,1,1,1,5,1,5,5,4,5,5,5,2,5,5,5,3,4,5,5,5,5,,2,0,,2,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,2,5,3,,,,,,,,3,2,,,,1,1,2,1,2,2,1,2,2,2,1,2,2,2,1,1,2,2,2,2,7,2.1579555,41.3751745,0.9409090
375,1,20201019,7,Horta - Guinardó,1,1,1,2,2,64,5,1,,3,,1,1,0,1,2,6,,1,1,0,1,0,0,0,,1,98,,1,,,,,,,1,98,1,2,1,1,1,1,3,3,5,5,5,5,5,5,5,5,5,5,5,,1,0,,2,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,3,2,,,,98,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,2.1487105,41.4229131,1.7400630
376,1,20201019,3,Sants - Montjuïc,3,1,1,2,2,50,4,1,,3,,4,4,1,1,2,8,,4,1,1,1,0,1,0,,1,1,,1,,,,,,,1,1,1,5,1,4,5,2,2,2,4,2,5,5,5,3,1,5,5,1,2,,1,0,,1,,2,,,,,5,,,,,0,,,,,,,,,,,,,,,,,,2,8,3,,,,,,,,5,2,,,,1,1,2,1,1,2,1,1,1,1,1,2,2,2,1,1,2,2,1,1,7,2.1300033,41.3778578,1.6428030
377,1,20201019,7,Horta - Guinardó,1,1,1,2,1,58,5,1,,1,4,4,4,1,1,2,9,,4,3,4,0,0,0,0,,1,1,,1,2,,,,,,1,1,1,3,1,4,5,1,2,2,3,2,3,4,5,4,4,5,5,1,2,,2,6,98,,2,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,2,8,2,,,,,,,,5,2,,,,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,2,1,1,11,2.1682227,41.4140301,1.7432580
378,1,20201019,2,Eixample,2,1,1,5,1,64,5,1,,1,3,4,4,0,1,2,8,,4,1,4,1,0,0,0,,1,1,,1,2,,,,,,1,1,1,5,5,5,5,1,2,2,3,1,4,5,5,3,3,5,5,5,4,,2,0,,2,1,,,,,,,,,,,,,,,4,,,,1,,,,,,,,,,2,9,3,,,,,,,,5,2,,,,1,1,2,2,2,2,1,1,1,1,1,1,2,2,1,1,2,2,2,1,10,2.1745878,41.4370456,0.6012520
379,1,20201019,2,Eixample,2,1,1,3,2,69,6,1,,3,,1,1,0,1,2,5,,1,0,1,1,0,0,0,,1,1,,1,,,,,,,1,2,1,3,5,5,2,1,2,2,3,2,1,4,5,3,4,5,5,5,2,,1,0,,3,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,2,99,2,,,,,,,,5,2,,,,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,2,2,2,1,3,2.150185,41.3876534,0.9138400
